"SITE,C,254","X,N,19,15","Y,N,19,15","elevation","X","Y","slope","tri","aspect","tpi","dist_fish_river","dist_konkiep_river","dist_water_points","dist_tourist_road","dist_staff_buildings"
"FR57",17.444028,-27.414023,758,741632.848568744,6965332.81233133,5.64349243826235,2.125,125.866041189652,-50.4587694664284,17685.6910313708,4589.45360707495,7652.16947390714,181.101852030551,7733.76214900591
"FR58",17.427953,-27.427645,733,740013.535079588,6963854.31430143,1.82578781202546,0.75,155.247604745363,-15.0043400561655,18111.8043707353,2558.72090715618,7350.86256254544,1281.07182308064,7437.54409858404
"FR59",17.424953,-27.406915,732,739761.669008806,6966157.47301888,1.79869077076907,1,121.78624908088,-8.25402093438856,19644.0836788596,3092.08145164314,9302.9492236459,535.078501028453,9387.86635533261
"FR60",17.406708,-27.414694,724,737940.437662492,6965330.43015701,1.91998599133967,1,291.721088714895,-9.05003829461327,20661.6964374974,1334.73548240533,9866.50725591147,1140.75541737058,9953.35097800947
"FR61",17.403309,-27.441223,709,737547.440050828,6962396.92160214,1.67759989249152,1.125,171.262820488685,-19.7291294357927,19581.3025895238,204.320871910475,8460.45693977888,3820.67066901741,8544.09452735319
"FR62",17.390188,-27.425439,718,736283.738269975,6964171.15895531,1.45902767322156,0.5,119.149485316162,-1.52769977023229,21495.7230553531,574.969560057133,10436.9712799742,3135.46186293123,10522.4128812326
"FR63",17.43057,-27.444923,725,740234.876558847,6961934.44230945,1.12421605545597,0.625,245.072382940216,-47.9565994383456,16948.41976137,2198.63356143128,5901.70740522696,2830.72888996553,5987.77501395234
"FR64",17.418232,-27.460471,699,738981.434226966,6960235.16369979,1.07606194175029,0.375,28.2758007203271,-27.4587694664284,17384.2075278023,85.9242761610312,6312.84433124902,4712.41789307107,6390.14562653538
"FR65",17.385237,-27.445949,728,735750.515920291,6961907.60857685,5.08888749034163e-14,0,270,-19.3796272657646,21017.6149727575,2045.57892635184,9912.17310497133,5185.56534133885,9992.16959582065
"FR66",17.361182,-27.452315,751,733358.790431804,6961247.55447464,1.89485885175768,0.75,0,-3.77380648455448,23007.0320547945,3936.79924460924,12011.2596031928,7251.26418846056,12086.5957201743
"FR67",17.504938,-27.436205,796,747607.479325316,6962754.57832023,2.24756714328196,0.875,245.072382940216,-9.39851927495533,11563.7652897064,9058.67161546601,3336.50458898955,3428.07425443421,4996.65885674349
"FR68",17.482894,-27.423664,787,745455.44886218,6964188.19584469,1.45902767322157,0.625,60.8505146838394,-5.33086545825893,14068.42594309,7681.50213913289,5135.490083224,863.801478614502,5762.60584204342
"FR69",17.400307,-27.457676,724,737215.383746022,6960579.29471791,7.15962799922361,3,58.2137509191218,-6.16798570334436,19163.6666190199,699.23070099885,8115.67699991345,5538.86300280018,8192.27416377737
"FR70",17.385524,-27.469827,744,735728.060428816,6959260.85539435,2.59094815922697,1.5,100.531524922854,-16.7270870564207,20152.8332643757,2551.64419738501,9361.02834642915,7455.44125725304,9429.11722932031
"FR71",17.458625,-27.594113,979,742680.753659594,6945345.68696306,1.07606194175028,0.375,331.724199279674,5.06025019147307,12494.0854015353,11182.0220926451,11165.3467406425,10689.0012068902,10684.8620049427
